Gene stable ID	Transcript stable ID	Human gene stable ID	Human gene name	Human protein or transcript stable ID	Human chromosome/scaffold name	Human chromosome/scaffold start (bp)	Human homology type	Human orthology confidence [0 low, 1 high]
ENSTGUG00000009121	ENSTGUT00000009499							
ENSTGUG00000009122	ENSTGUT00000009505	ENSG00000204052	LRRC73	ENSP00000361518	6	43506969	ortholog_one2one	1
ENSTGUG00000009123	ENSTGUT00000009529	ENSG00000114302	PRKAR2A	ENSP00000265563	3	48744597	ortholog_one2many	1
ENSTGUG00000009124	ENSTGUT00000009502	ENSG00000215421	ZNF407	ENSP00000299687	18	74597870	ortholog_one2one	1
ENSTGUG00000009124	ENSTGUT00000009504	ENSG00000215421	ZNF407	ENSP00000299687	18	74597870	ortholog_one2one	1
ENSTGUG00000009125	ENSTGUT00000009501	ENSG00000172061	LRRC15	ENSP00000413707	3	194355247	ortholog_one2one	1
ENSTGUG00000009126	ENSTGUT00000009527	ENSG00000123064	DDX54	ENSP00000323858	12	113157174	ortholog_one2one	1
ENSTGUG00000009127	ENSTGUT00000009500	ENSG00000126218	F10	ENSP00000364709	13	113122814	ortholog_one2many	1
ENSTGUG00000009128	ENSTGUT00000009509	ENSG00000166509	CLEC3A	ENSP00000499168	16	78022515	ortholog_one2one	1
ENSTGUG00000009129	ENSTGUT00000009507	ENSG00000126231	PROZ	ENSP00000344458	13	113158648	ortholog_one2one	1
ENSTGUG00000009130	ENSTGUT00000009508							
ENSTGUG00000009131	ENSTGUT00000009521							
ENSTGUG00000009132	ENSTGUT00000009520	ENSG00000150656	CNDP1	ENSP00000351682	18	74534500	ortholog_one2one	1
ENSTGUG00000009133	ENSTGUT00000009532	ENSG00000137207	YIPF3	ENSP00000361499	6	43511832	ortholog_one2one	1
ENSTGUG00000009134	ENSTGUT00000009510	ENSG00000114315	HES1	ENSP00000232424	3	194136148	ortholog_one2one	1
ENSTGUG00000009135	ENSTGUT00000009528	ENSG00000126226	PCID2	ENSP00000479494	13	113177539	ortholog_one2one	1
ENSTGUG00000009136	ENSTGUT00000009514	ENSG00000103742	IGDCC4	ENSP00000319623	15	65381484	ortholog_one2one	1
ENSTGUG00000009136	ENSTGUT00000009518	ENSG00000103742	IGDCC4	ENSP00000319623	15	65381484	ortholog_one2one	1
ENSTGUG00000009137	ENSTGUT00000009523	ENSG00000171724	VAT1L	ENSP00000303129	16	77788564	ortholog_one2one	1
ENSTGUG00000009138	ENSTGUT00000009550	ENSG00000198836	OPA1	ENSP00000354681	3	193593144	ortholog_one2one	1
ENSTGUG00000009139	ENSTGUT00000009515	ENSG00000174348	PODN	ENSP00000308315	1	53062052	ortholog_one2one	1
ENSTGUG00000009140	ENSTGUT00000009559	ENSG00000079156	OSBPL6	ENSP00000376293	2	178194481	ortholog_one2one	1
ENSTGUG00000009141	ENSTGUT00000009516	ENSG00000181826	RELL1	ENSP00000398778	4	37590800	ortholog_one2one	1
ENSTGUG00000009142	ENSTGUT00000009517	ENSG00000154274	C4orf19	ENSP00000371408	4	37453925	ortholog_one2one	1
ENSTGUG00000009143	ENSTGUT00000009551	ENSG00000162383	SLC1A7	ENSP00000478639	1	53087179	ortholog_one2one	1
ENSTGUG00000009144	ENSTGUT00000009522	ENSG00000174145	NWD2	ENSP00000309501	4	37244743	ortholog_one2one	1
ENSTGUG00000009145	ENSTGUT00000009549	ENSG00000074603	DPP8	ENSP00000339208	15	65442463	ortholog_one2one	1
ENSTGUG00000009146	ENSTGUT00000009538	ENSG00000205531	NAP1L4	ENSP00000369915	11	2944431	ortholog_one2one	1
ENSTGUG00000009147	ENSTGUT00000009539	ENSG00000133313	CNDP2	ENSP00000325548	18	74495816	ortholog_one2one	1
ENSTGUG00000009148	ENSTGUT00000009544	ENSG00000138185	ENTPD1	ENSP00000360250	10	95711779	ortholog_one2many	1
ENSTGUG00000009149	ENSTGUT00000009525	ENSG00000197057	DTHD1	ENSP00000401597	4	36281622	ortholog_one2one	1
ENSTGUG00000009150	ENSTGUT00000009530							
ENSTGUG00000009151	ENSTGUT00000009580	ENSG00000108846	ABCC3	ENSP00000285238	17	50634777	ortholog_many2many	1
ENSTGUG00000009152	ENSTGUT00000009547	ENSG00000047365	ARAP2	ENSP00000302895	4	35948221	ortholog_one2one	1
ENSTGUG00000009153	ENSTGUT00000009533	ENSG00000011638	TMEM159	ENSP00000409879	16	21158377	ortholog_one2one	1
ENSTGUG00000009154	ENSTGUT00000009531							
ENSTGUG00000009155	ENSTGUT00000009560	ENSG00000139842	CUL4A	ENSP00000364589	13	113208193	ortholog_one2one	1
ENSTGUG00000009156	ENSTGUT00000009537	ENSG00000165704	HPRT1	ENSP00000298556	X	134460165	ortholog_one2many	0
ENSTGUG00000009157	ENSTGUT00000009534	ENSG00000163684	RPP14	ENSP00000412894	3	58306247	ortholog_one2one	1
ENSTGUG00000009157	ENSTGUT00000009536	ENSG00000163684	RPP14	ENSP00000412894	3	58306247	ortholog_one2one	1
ENSTGUG00000009158	ENSTGUT00000009546							
ENSTGUG00000009159	ENSTGUT00000009543	ENSG00000171453	POLR1C	ENSP00000361465	6	43509702	ortholog_one2one	1
ENSTGUG00000009160	ENSTGUT00000009573	ENSG00000158486	DNAH3	ENSP00000261383	16	20933111	ortholog_one2one	1
ENSTGUG00000009161	ENSTGUT00000009545	ENSG00000080802	CNOT4	ENSP00000445508	7	135361795	ortholog_one2one	1
ENSTGUG00000009162	ENSTGUT00000009554	ENSG00000168297	PXK	ENSP00000348472	3	58332880	ortholog_one2many	1
ENSTGUG00000009163	ENSTGUT00000009572	ENSG00000140873	ADAMTS18	ENSP00000282849	16	77247813	ortholog_one2many	1
ENSTGUG00000009164	ENSTGUT00000009542	ENSG00000110628	SLC22A18	ENSP00000369948	11	2899721	ortholog_one2one	1
ENSTGUG00000009165	ENSTGUT00000009540	ENSG00000187773	DIPK1C	ENSP00000344331	18	74434099	ortholog_one2one	1
ENSTGUG00000009165	ENSTGUT00000009541	ENSG00000187773	DIPK1C	ENSP00000344331	18	74434099	ortholog_one2one	1
ENSTGUG00000009166	ENSTGUT00000009548	ENSG00000166347	CYB5A	ENSP00000341625	18	74250846	ortholog_one2one	1
ENSTGUG00000009167	ENSTGUT00000009562	ENSG00000053918	KCNQ1	ENSP00000155840	11	2444684	ortholog_one2one	1
ENSTGUG00000009168	ENSTGUT00000009571	ENSG00000124571	XPO5	ENSP00000265351	6	43522334	ortholog_one2one	1
ENSTGUG00000009169	ENSTGUT00000009555	ENSG00000120054	CPN1	ENSP00000359446	10	100042193	ortholog_one2one	1
ENSTGUG00000009170	ENSTGUT00000009558							
ENSTGUG00000009171	ENSTGUT00000009575	ENSG00000135090	TAOK3	ENSP00000376317	12	118149801	ortholog_one2one	1
ENSTGUG00000009172	ENSTGUT00000009552							
ENSTGUG00000009173	ENSTGUT00000009553	ENSG00000075336	TIMM21	ENSP00000169551	18	74148523	ortholog_one2one	1
ENSTGUG00000009174	ENSTGUT00000009556	ENSG00000074696	HACD3	ENSP00000261875	15	65530418	ortholog_one2one	1
ENSTGUG00000009175	ENSTGUT00000009588	ENSG00000127249	ATP13A4	ENSP00000339182	3	193398967	ortholog_one2one	1
ENSTGUG00000009176	ENSTGUT00000009557	ENSG00000157184	CPT2	ENSP00000360541	1	53196792	ortholog_one2one	1
ENSTGUG00000009177	ENSTGUT00000009569	ENSG00000109689	STIM2	ENSP00000417569	4	26857601	ortholog_one2one	1
ENSTGUG00000009178	ENSTGUT00000009564	ENSG00000141665	FBXO15	ENSP00000393154	18	74073353	ortholog_one2one	1
ENSTGUG00000009179	ENSTGUT00000009567	ENSG00000168291	PDHB	ENSP00000307241	3	58427630	ortholog_one2many	1
ENSTGUG00000009180	ENSTGUT00000009561	ENSG00000107554	DNMBP	ENSP00000315659	10	99875577	ortholog_one2many	1
ENSTGUG00000009181	ENSTGUT00000009576	ENSG00000162384	CZIB	ENSP00000294360	1	53214099	ortholog_one2many	1
ENSTGUG00000009182	ENSTGUT00000009582	ENSG00000138614	INTS14	ENSP00000498715	15	65578753	ortholog_one2many	1
ENSTGUG00000009183	ENSTGUT00000009563	ENSG00000146857	STRA8	ENSP00000275764	7	135231979	ortholog_one2one	1
ENSTGUG00000009183	ENSTGUT00000009566	ENSG00000146857	STRA8	ENSP00000275764	7	135231979	ortholog_one2one	1
ENSTGUG00000009184	ENSTGUT00000009565	ENSG00000204311	PJVK	ENSP00000386647	2	178451346	ortholog_one2one	1
ENSTGUG00000009185	ENSTGUT00000009583	ENSG00000185896	LAMP1	ENSP00000333298	13	113297239	ortholog_one2one	1
ENSTGUG00000009186	ENSTGUT00000009735	ENSG00000108846	ABCC3	ENSP00000285238	17	50634777	ortholog_many2many	0
ENSTGUG00000009186	ENSTGUT00000009735	ENSG00000124574	ABCC10	ENSP00000361608	6	43427366	ortholog_many2many	0
ENSTGUG00000009186	ENSTGUT00000009735	ENSG00000121270	ABCC11	ENSP00000378230	16	48166910	ortholog_many2many	0
ENSTGUG00000009187	ENSTGUT00000009638	ENSG00000070985	TRPM5	ENSP00000155858	11	2404515	ortholog_one2one	1
ENSTGUG00000009188	ENSTGUT00000009581	ENSG00000166342	NETO1	ENSP00000313088	18	72742314	ortholog_one2one	1
ENSTGUG00000009189	ENSTGUT00000009570	ENSG00000079150	FKBP7	ENSP00000413152	2	178463664	ortholog_one2one	1
ENSTGUG00000009190	ENSTGUT00000009578	ENSG00000105875	WDR91	ENSP00000346466	7	135183839	ortholog_one2one	1
ENSTGUG00000009191	ENSTGUT00000009568	ENSG00000168301	KCTD6	ENSP00000347188	3	58492096	ortholog_one2one	1
ENSTGUG00000009192	ENSTGUT00000009632	ENSG00000168306	ACOX2	ENSP00000307697	3	58505136	ortholog_one2one	1
ENSTGUG00000009193	ENSTGUT00000009606	ENSG00000109680	TBC1D19	ENSP00000264866	4	26576437	ortholog_one2one	1
ENSTGUG00000009194	ENSTGUT00000009584	ENSG00000116095	PLEKHA3	ENSP00000234453	2	178480457	ortholog_one2one	1
ENSTGUG00000009195	ENSTGUT00000009574	ENSG00000170734	POLH	ENSP00000361310	6	43576150	ortholog_one2one	0
ENSTGUG00000009196	ENSTGUT00000009577	ENSG00000140876	NUDT7	ENSP00000268533	16	77722492	ortholog_one2one	1
ENSTGUG00000009197	ENSTGUT00000009587	ENSG00000102897	LYRM1	ENSP00000379367	16	20899868	ortholog_one2one	1
ENSTGUG00000009198	ENSTGUT00000009590	ENSG00000172432	GTPBP2	ENSP00000303997	6	43605316	ortholog_one2one	1
ENSTGUG00000009199	ENSTGUT00000009604	ENSG00000111707	SUDS3	ENSP00000443988	12	118376555	ortholog_one2one	1
ENSTGUG00000009200	ENSTGUT00000009585	ENSG00000131944	FAAP24	ENSP00000466121	19	32972209	ortholog_one2one	1
ENSTGUG00000009201	ENSTGUT00000009579	ENSG00000146859	TMEM140	ENSP00000275767	7	135148072	ortholog_one2one	0
ENSTGUG00000009202	ENSTGUT00000009586	ENSG00000139053	AC020613.1	ENSP00000266395	12	14973042	ortholog_one2one	1
ENSTGUG00000009203	ENSTGUT00000009599	ENSG00000162385	MAGOH	ENSP00000360525	1	53226900	ortholog_one2one	1
ENSTGUG00000009204	ENSTGUT00000009592	ENSG00000154945	ANKRD40	ENSP00000285243	17	50693198	ortholog_one2one	1
ENSTGUG00000009205	ENSTGUT00000009591	ENSG00000141668	CBLN2	ENSP00000269503	18	72536680	ortholog_one2one	1
ENSTGUG00000009206	ENSTGUT00000009596	ENSG00000074621	SLC24A1	ENSP00000261892	15	65611366	ortholog_one2one	1
ENSTGUG00000009207	ENSTGUT00000009605	ENSG00000121289	CEP89	ENSP00000306105	19	32875925	ortholog_one2one	1
ENSTGUG00000009208	ENSTGUT00000009602	ENSG00000139835	GRTP1	ENSP00000364579	13	113324164	ortholog_one2one	1
ENSTGUG00000009209	ENSTGUT00000009589							
ENSTGUG00000009210	ENSTGUT00000009607	ENSG00000111348	ARHGDIB	ENSP00000228945	12	14942031	ortholog_one2one	1
ENSTGUG00000009211	ENSTGUT00000009595	ENSG00000188215	DCUN1D3	ENSP00000319482	16	20854925	ortholog_one2one	1
ENSTGUG00000009212	ENSTGUT00000009594	ENSG00000127252	HRASLS	ENSP00000498228	3	193241125	ortholog_one2many	1
ENSTGUG00000009213	ENSTGUT00000009593							
ENSTGUG00000009214	ENSTGUT00000009601	ENSG00000124688	MAD2L1BP	ENSP00000410818	6	43629540	ortholog_one2one	1
ENSTGUG00000009215	ENSTGUT00000009600							
ENSTGUG00000009216	ENSTGUT00000009609	ENSG00000108848	LUC7L3	ENSP00000376919	17	50719565	ortholog_one2many	1
ENSTGUG00000009217	ENSTGUT00000009597	ENSG00000170677	SOCS6	ENSP00000381034	18	70289045	ortholog_one2one	1
ENSTGUG00000009218	ENSTGUT00000009598	ENSG00000127252	HRASLS	ENSP00000498228	3	193241125	ortholog_one2many	1
ENSTGUG00000009219	ENSTGUT00000009608	ENSG00000005189	REXO5	ENSP00000261377	16	20806429	ortholog_one2one	1
ENSTGUG00000009220	ENSTGUT00000009660	ENSG00000174485	DENND4A	ENSP00000391167	15	65658046	ortholog_one2one	1
ENSTGUG00000009221	ENSTGUT00000009626	ENSG00000176225	RTTN	ENSP00000491507	18	70003031	ortholog_one2one	1
ENSTGUG00000009221	ENSTGUT00000009630	ENSG00000176225	RTTN	ENSP00000491507	18	70003031	ortholog_one2one	1
ENSTGUG00000009222	ENSTGUT00000009611	ENSG00000146839	ZAN	ENSP00000480750	7	100733626	ortholog_one2one	0
ENSTGUG00000009222	ENSTGUT00000009616	ENSG00000146839	ZAN	ENSP00000480750	7	100733626	ortholog_one2one	0
ENSTGUG00000009222	ENSTGUT00000009622	ENSG00000146839	ZAN	ENSP00000480750	7	100733626	ortholog_one2one	0
ENSTGUG00000009223	ENSTGUT00000009674	ENSG00000157193	LRP8	ENSP00000303634	1	53242364	ortholog_one2one	1
ENSTGUG00000009224	ENSTGUT00000009617							
ENSTGUG00000009225	ENSTGUT00000009661	ENSG00000155657	TTN	ENSP00000467141	2	178525989	ortholog_one2one	0
ENSTGUG00000009226	ENSTGUT00000009603							
ENSTGUG00000009227	ENSTGUT00000009614	ENSG00000153531	ADPRHL1	ENSP00000364567	13	113399610	ortholog_one2many	1
ENSTGUG00000009228	ENSTGUT00000009613	ENSG00000139767	SRRM4	ENSP00000267260	12	118981541	ortholog_one2one	1
ENSTGUG00000009229	ENSTGUT00000009634	ENSG00000021488	SLC7A9	ENSP00000023064	19	32830509	ortholog_one2one	1
ENSTGUG00000009230	ENSTGUT00000009624	ENSG00000163394	CCKAR	ENSP00000295589	4	26481400	ortholog_one2one	1
ENSTGUG00000009231	ENSTGUT00000009610	ENSG00000139055	ERP27	ENSP00000266397	12	14914039	ortholog_one2one	1
ENSTGUG00000009232	ENSTGUT00000009627	ENSG00000196678	ERI2	ENSP00000350651	16	20780193	ortholog_one2one	0
ENSTGUG00000009233	ENSTGUT00000009612	ENSG00000167117	ANKRD40CL	ENSP00000494384	17	50761029	ortholog_one2one	1
ENSTGUG00000009234	ENSTGUT00000009618	ENSG00000111341	MGP	ENSP00000228938	12	14881181	ortholog_one2one	1
ENSTGUG00000009234	ENSTGUT00000009623	ENSG00000111341	MGP	ENSP00000228938	12	14881181	ortholog_one2one	1
ENSTGUG00000009235	ENSTGUT00000009615	ENSG00000173714	WFIKKN2	ENSP00000311184	17	50834650	ortholog_one2one	1
ENSTGUG00000009236	ENSTGUT00000009620	ENSG00000152137	HSPB8	ENSP00000281938	12	119178642	ortholog_one2one	1
ENSTGUG00000009237	ENSTGUT00000009637	ENSG00000150401	DCUN1D2	ENSP00000417706	13	113455819	ortholog_one2one	1
ENSTGUG00000009238	ENSTGUT00000009619	ENSG00000141232	TOB1	ENSP00000427695	17	50862223	ortholog_one2one	1
ENSTGUG00000009239	ENSTGUT00000009731	ENSG00000008294	SPAG9	ENSP00000262013	17	50962174	ortholog_one2one	1
ENSTGUG00000009240	ENSTGUT00000009649	ENSG00000183281	PLGLB1	ENSP00000347933	2	87002559	ortholog_many2many	0
ENSTGUG00000009240	ENSTGUT00000009649	ENSG00000125551	PLGLB2	ENSP00000352458	2	87748087	ortholog_many2many	0
ENSTGUG00000009240	ENSTGUT00000009649	ENSG00000122194	PLG	ENSP00000308938	6	160702238	ortholog_many2many	0
ENSTGUG00000009241	ENSTGUT00000009621	ENSG00000224982	TMEM233	ENSP00000403130	12	119593774	ortholog_one2one	1
ENSTGUG00000009242	ENSTGUT00000009644	ENSG00000111725	PRKAB1	ENSP00000441369	12	119667864	ortholog_one2one	1
ENSTGUG00000009243	ENSTGUT00000009631							
ENSTGUG00000009244	ENSTGUT00000009625							
ENSTGUG00000009245	ENSTGUT00000009643	ENSG00000168214	RBPJ	ENSP00000345206	4	26163455	ortholog_one2one	1
ENSTGUG00000009246	ENSTGUT00000009628	ENSG00000111339	ART4	ENSP00000228936	12	14825569	ortholog_one2many	1
ENSTGUG00000009247	ENSTGUT00000009636	ENSG00000066654	THUMPD1	ENSP00000379392	16	20702816	ortholog_one2one	1
ENSTGUG00000009248	ENSTGUT00000009629	ENSG00000179256	SMCO3	ENSP00000381895	12	14804650	ortholog_one2one	1
ENSTGUG00000009249	ENSTGUT00000009656							
ENSTGUG00000009250	ENSTGUT00000009646	ENSG00000206052	DOK6	ENSP00000372160	18	69400888	ortholog_one2one	1
ENSTGUG00000009251	ENSTGUT00000009635	ENSG00000168309	FAM107A	ENSP00000419124	3	58564117	ortholog_one2one	1
ENSTGUG00000009252	ENSTGUT00000009633	ENSG00000180611	MB21D2	ENSP00000376246	3	192796815	ortholog_one2one	1
ENSTGUG00000009253	ENSTGUT00000009640	ENSG00000114279	FGF12	ENSP00000413496	3	192139395	ortholog_one2one	1
ENSTGUG00000009254	ENSTGUT00000009673	ENSG00000183549	ACSM5	ENSP00000327916	16	20409534	ortholog_one2many	1
ENSTGUG00000009255	ENSTGUT00000009641	ENSG00000198643	FAM3D	ENSP00000351632	3	58633946	ortholog_one2many	1
ENSTGUG00000009256	ENSTGUT00000009653							
ENSTGUG00000009256	ENSTGUT00000009655							
ENSTGUG00000009257	ENSTGUT00000009652	ENSG00000150403	TMCO3	ENSP00000389399	13	113491021	ortholog_one2one	1
ENSTGUG00000009258	ENSTGUT00000009639	ENSG00000184281	TSSC4	ENSP00000331087	11	2400488	ortholog_one2one	1
ENSTGUG00000009259	ENSTGUT00000009666	ENSG00000110651	CD81	ENSP00000263645	11	2376177	ortholog_one2one	1
ENSTGUG00000009260	ENSTGUT00000009642							
ENSTGUG00000009261	ENSTGUT00000009648	ENSG00000163689	C3orf67	ENSP00000295966	3	58717365	ortholog_one2many	0
ENSTGUG00000009262	ENSTGUT00000009659	ENSG00000152492	CCDC50	ENSP00000376249	3	191329085	ortholog_one2one	1
ENSTGUG00000009263	ENSTGUT00000009645	ENSG00000250317	SMIM20	ENSP00000427407	4	25861830	ortholog_one2one	1
ENSTGUG00000009264	ENSTGUT00000009726	ENSG00000122966	CIT	ENSP00000376306	12	119685791	ortholog_one2one	1
ENSTGUG00000009265	ENSTGUT00000009669	ENSG00000091490	SEL1L3	ENSP00000382767	4	25747433	ortholog_one2one	1
ENSTGUG00000009265	ENSTGUT00000009671	ENSG00000091490	SEL1L3	ENSP00000382767	4	25747433	ortholog_one2one	1
ENSTGUG00000009266	ENSTGUT00000009647							
ENSTGUG00000009267	ENSTGUT00000009651							
ENSTGUG00000009268	ENSTGUT00000009650	ENSG00000163689	C3orf67	ENSP00000295966	3	58717365	ortholog_one2many	0
ENSTGUG00000009269	ENSTGUT00000009680	ENSG00000104055	TGM5	ENSP00000220420	15	43232595	ortholog_one2one	0
ENSTGUG00000009270	ENSTGUT00000009657							
ENSTGUG00000009271	ENSTGUT00000009654	ENSG00000039139	DNAH5	ENSP00000265104	5	13690331	ortholog_one2many	0
ENSTGUG00000009272	ENSTGUT00000009682	ENSG00000198176	TFDP1	ENSP00000364519	13	113584721	ortholog_one2one	1
ENSTGUG00000009273	ENSTGUT00000009727	ENSG00000085511	MAP3K4	ENSP00000375986	6	160991727	ortholog_one2one	1
ENSTGUG00000009274	ENSTGUT00000009663	ENSG00000131013	PPIL4	ENSP00000253329	6	149504733	ortholog_one2many	0
ENSTGUG00000009275	ENSTGUT00000009658	ENSG00000246705	H2AFJ	ENSP00000438553	12	14774383	ortholog_one2many	0
ENSTGUG00000009276	ENSTGUT00000009662	ENSG00000144724	PTPRG	ENSP00000418112	3	61561569	ortholog_one2many	0
ENSTGUG00000009277	ENSTGUT00000009665	ENSG00000187475	HIST1H1T	ENSP00000341214	6	26107419	ortholog_many2many	0
ENSTGUG00000009277	ENSTGUT00000009665	ENSG00000187166	H1FNT	ENSP00000334805	12	48328980	ortholog_many2many	0
ENSTGUG00000009278	ENSTGUT00000009664	ENSG00000188958	UTS2B	ENSP00000340526	3	191267168	ortholog_one2one	1
ENSTGUG00000009279	ENSTGUT00000009676	ENSG00000103769	RAB11A	ENSP00000261890	15	65726054	ortholog_one2one	1
ENSTGUG00000009280	ENSTGUT00000009717	ENSG00000144724	PTPRG	ENSP00000418112	3	61561569	ortholog_one2many	1
ENSTGUG00000009281	ENSTGUT00000009756	ENSG00000150394	CDH8	ENSP00000462701	16	61647242	ortholog_one2one	1
ENSTGUG00000009282	ENSTGUT00000009668	ENSG00000188729	OSTN	ENSP00000342356	3	191199241	ortholog_one2many	1
ENSTGUG00000009283	ENSTGUT00000009667	ENSG00000183734	ASCL2	ENSP00000332293	11	2268495	ortholog_one2one	1
ENSTGUG00000009284	ENSTGUT00000009670							
ENSTGUG00000009285	ENSTGUT00000009678							
ENSTGUG00000009286	ENSTGUT00000009675	ENSG00000205835	GMNC	ENSP00000406164	3	190852877	ortholog_one2one	1
ENSTGUG00000009286	ENSTGUT00000009683	ENSG00000205835	GMNC	ENSP00000406164	3	190852877	ortholog_one2one	1
ENSTGUG00000009287	ENSTGUT00000009679	ENSG00000064201	TSPAN32	ENSP00000182290	11	2301997	ortholog_one2one	1
ENSTGUG00000009288	ENSTGUT00000009672							
ENSTGUG00000009289	ENSTGUT00000009711	ENSG00000157765	SLC34A2	ENSP00000371483	4	25648011	ortholog_one2many	1
ENSTGUG00000009290	ENSTGUT00000009681	ENSG00000146047	HIST1H2BA	ENSP00000274764	6	25726777	ortholog_one2one	0
ENSTGUG00000009291	ENSTGUT00000009689	ENSG00000169340	PDILT	ENSP00000305465	16	20359170	ortholog_one2one	0
ENSTGUG00000009292	ENSTGUT00000009677	ENSG00000143006	DMRTB1	ENSP00000360500	1	53459399	ortholog_one2one	0
ENSTGUG00000009293	ENSTGUT00000009698	ENSG00000157890	MEGF11	ENSP00000386908	15	65895079	ortholog_one2one	1
ENSTGUG00000009294	ENSTGUT00000009688	ENSG00000174332	GLIS1	ENSP00000309653	1	53506237	ortholog_one2one	1
ENSTGUG00000009295	ENSTGUT00000009709	ENSG00000180176	TH	ENSP00000370571	11	2163929	ortholog_one2one	1
ENSTGUG00000009296	ENSTGUT00000009699	ENSG00000187231	SESTD1	ENSP00000415332	2	179101678	ortholog_one2one	1
ENSTGUG00000009297	ENSTGUT00000009684							
ENSTGUG00000009298	ENSTGUT00000009702	ENSG00000166479	TMX3	ENSP00000299608	18	68673688	ortholog_one2one	1
ENSTGUG00000009299	ENSTGUT00000009695	ENSG00000186009	ATP4B	ENSP00000334216	13	113648804	ortholog_one2many	1
ENSTGUG00000009300	ENSTGUT00000009703	ENSG00000196083	IL1RAP	ENSP00000314807	3	190514051	ortholog_one2many	1
ENSTGUG00000009301	ENSTGUT00000009685							
ENSTGUG00000009302	ENSTGUT00000009686							
ENSTGUG00000009303	ENSTGUT00000009687	ENSG00000164508	HIST1H2AA	ENSP00000297012	6	25726132	ortholog_one2many	0
ENSTGUG00000009304	ENSTGUT00000009690							
ENSTGUG00000009305	ENSTGUT00000009691	ENSG00000211452	DIO1	ENSP00000354643	1	53891239	ortholog_one2many	1
ENSTGUG00000009306	ENSTGUT00000009693	ENSG00000180269	GPR139	ENSP00000458791	16	20031485	ortholog_one2one	1
ENSTGUG00000009307	ENSTGUT00000009692							
ENSTGUG00000009308	ENSTGUT00000009715	ENSG00000058804	NDC1	ENSP00000360483	1	53765478	ortholog_one2one	1
ENSTGUG00000009309	ENSTGUT00000009694	ENSG00000278637	HIST1H4A	ENSP00000479106	6	26021679	ortholog_one2one	0
ENSTGUG00000009310	ENSTGUT00000009696	ENSG00000167191	GPRC5B	ENSP00000300571	16	19856691	ortholog_one2one	1
ENSTGUG00000009311	ENSTGUT00000009697	ENSG00000246705	H2AFJ	ENSP00000438553	12	14774383	ortholog_one2many	0
ENSTGUG00000009312	ENSTGUT00000009705	ENSG00000184497	TMEM255B	ENSP00000364502	13	113759240	ortholog_one2one	1
ENSTGUG00000009313	ENSTGUT00000009700	ENSG00000103550	KNOP1	ENSP00000219837	16	19701937	ortholog_one2one	0
ENSTGUG00000009314	ENSTGUT00000009701							
ENSTGUG00000009315	ENSTGUT00000009738	ENSG00000166938	DIS3L	ENSP00000321711	15	66293217	ortholog_one2one	1
ENSTGUG00000009315	ENSTGUT00000009741	ENSG00000166938	DIS3L	ENSP00000321711	15	66293217	ortholog_one2one	1
ENSTGUG00000009316	ENSTGUT00000009722	ENSG00000144331	ZNF385B	ENSP00000386845	2	179441982	ortholog_one2one	1
ENSTGUG00000009317	ENSTGUT00000009704	ENSG00000187475	HIST1H1T	ENSP00000341214	6	26107419	ortholog_many2many	0
ENSTGUG00000009317	ENSTGUT00000009704	ENSG00000187166	H1FNT	ENSP00000334805	12	48328980	ortholog_many2many	0
ENSTGUG00000009318	ENSTGUT00000009765	ENSG00000103544	VPS35L	ENSP00000251143	16	19555240	ortholog_one2one	1
ENSTGUG00000009319	ENSTGUT00000009781	ENSG00000071991	CDH19	ENSP00000262150	18	66501083	ortholog_one2one	1
ENSTGUG00000009320	ENSTGUT00000009706	ENSG00000275663	HIST1H4G	ENSP00000477870	6	26246681	ortholog_one2many	0
ENSTGUG00000009321	ENSTGUT00000009739	ENSG00000183087	GAS6	ENSP00000331831	13	113820549	ortholog_one2one	1
ENSTGUG00000009322	ENSTGUT00000009707	ENSG00000198398	TMEM207	ENSP00000346981	3	190428655	ortholog_one2one	1
ENSTGUG00000009323	ENSTGUT00000009708							
ENSTGUG00000009324	ENSTGUT00000009719	ENSG00000113946	CLDN16	ENSP00000264734	3	190322541	ortholog_one2one	1
ENSTGUG00000009325	ENSTGUT00000009710	ENSG00000187475	HIST1H1T	ENSP00000341214	6	26107419	ortholog_many2many	1
ENSTGUG00000009325	ENSTGUT00000009710	ENSG00000187166	H1FNT	ENSP00000334805	12	48328980	ortholog_many2many	0
ENSTGUG00000009326	ENSTGUT00000009713	ENSG00000129965	INS-IGF2	ENSP00000380440	11	2132538	ortholog_many2many	1
ENSTGUG00000009326	ENSTGUT00000009713	ENSG00000254647	INS	ENSP00000380432	11	2159779	ortholog_many2many	1
ENSTGUG00000009327	ENSTGUT00000009712	ENSG00000275379	HIST1H3I	ENSP00000483283	6	27871905	ortholog_one2many	0
ENSTGUG00000009327	ENSTGUT00000009712	ENSG00000197409	HIST1H3D	ENSP00000366999	6	26196840	ortholog_one2many	0
ENSTGUG00000009327	ENSTGUT00000009712	ENSG00000278272	HIST1H3C	ENSP00000484658	6	26045411	ortholog_one2many	0
ENSTGUG00000009327	ENSTGUT00000009712	ENSG00000278828	HIST1H3H	ENSP00000358160	6	27810064	ortholog_one2many	0
ENSTGUG00000009327	ENSTGUT00000009712	ENSG00000277775	HIST1H3F	ENSP00000484095	6	26250195	ortholog_one2many	0
ENSTGUG00000009327	ENSTGUT00000009712	ENSG00000274267	HIST1H3B	ENSP00000484841	6	26031650	ortholog_one2many	0
